artist_count,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,days_since_release,key_A#,key_B,key_C,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Minor,platform_presence_summary,log_streams,platform_presence_summary danceability,platform_presence_summary energy,platform_presence_summary bpm,platform_presence_summary valence,platform_presence_summary artist_count,danceability energy,danceability bpm,danceability valence,danceability artist_count,energy bpm,energy valence,energy artist_count,bpm valence,bpm artist_count,valence artist_count
2,0.12765957446808507,0.4657534246575343,0.5591397849462366,0.7159090909090909,0.23711340206185566,0.0,0.2553191489361702,0.04838709677419355,0.0029551025890728368,False,False,False,False,False,False,False,False,True,False,False,True,3479.0,0.1255850674531194,1620.3561643835617,2490.6477272727275,444.12765957446794,1945.2473118279572,6958.0,0.33343711083437116,0.05945788399883414,0.26042126970098695,0.9315068493150686,0.09139264990328817,0.40029325513196484,1.4318181818181819,0.07137954701441317,0.25531914893617014,1.1182795698924732
1,0.6028368794326241,0.7534246575342465,0.5161290322580646,0.8295454545454546,0.18556701030927836,0.0,0.12765957446808512,0.08064516129032258,0.0002350649786762478,False,False,False,False,False,False,False,True,False,False,False,True,910.0,0.012556808887748471,685.6164383561643,754.8863636363636,548.581560283688,469.6774193548388,910.0,0.625,0.45419216943553864,0.3888643393725144,0.7534246575342465,0.5000805931656995,0.4281524926686218,0.8295454545454546,0.31114161519103184,0.6028368794326241,0.5161290322580646
1,0.375886524822695,0.6575342465753424,0.6559139784946237,0.6704545454545454,0.061855670103092786,0.0,0.0,0.08064516129032258,0.006145270156821921,False,False,True,False,False,False,False,False,False,False,False,False,14665.0,0.3026997936095231,9642.739726027397,9832.215909090908,5512.375886524823,9618.978494623658,14665.0,0.4408468244084682,0.2471582628971145,0.43128590366769776,0.6575342465753424,0.2520148291424887,0.43976050830889546,0.6704545454545454,0.24654922595897202,0.375886524822695,0.6559139784946237
1,0.46099290780141844,0.38356164383561636,0.3010752688172043,0.38636363636363635,0.8556701030927835,0.0,0.06382978723404256,0.016129032258064516,0.003055844722791228,False,False,False,False,True,False,False,False,False,False,False,True,5349.0,0.09696871835023381,2051.671232876712,2066.659090909091,2465.851063829787,1610.4516129032259,5349.0,0.14819427148194267,0.17681919751287278,0.11548092502577698,0.38356164383561636,0.17811089619600257,0.1163245356793744,0.38636363636363635,0.13879356363913675,0.46099290780141844,0.3010752688172043
1,0.7730496453900709,0.3972602739726027,0.6666666666666667,0.7272727272727273,0.35051546391752575,0.0,0.2978723404255319,0.06451612903225806,0.0157829342825481,False,False,False,False,False,False,False,False,True,False,False,True,25215.0,0.5173140795484251,10016.917808219177,18338.18181818182,19492.44680851064,16810.000000000004,25215.0,0.2889165628891656,0.30710191392208297,0.26484018264840187,0.3972602739726027,0.5622179239200517,0.4848484848484849,0.7272727272727273,0.5153664302600474,0.7730496453900709,0.6666666666666667
1,0.17021276595744683,0.5616438356164384,0.41935483870967744,0.7272727272727273,0.05154639175257732,0.18681318681318682,0.13829787234042554,0.03225806451612903,0.007320595050203164,False,False,False,False,False,False,False,False,False,False,True,False,8891.0,0.2714490605076089,4993.575342465753,6466.181818181818,1513.3617021276598,3728.483870967742,8891.0,0.40846824408468246,0.09559895074322357,0.2355280600972161,0.5616438356164384,0.12379110251450678,0.30498533724340177,0.7272727272727273,0.0713795470144132,0.17021276595744683,0.41935483870967744
1,0.3900709219858156,0.7534246575342465,0.7741935483870969,0.5681818181818182,0.44329896907216493,0.0,0.32978723404255317,0.016129032258064516,0.004701299573524966,False,True,False,False,False,False,False,False,False,False,False,True,3406.0,0.12346266090184926,2566.1643835616437,1935.227272727273,1328.581560283688,2636.9032258064517,3406.0,0.4280821917808219,0.2938890508112309,0.5832965090587715,0.7534246575342465,0.22163120567375888,0.4398826979472142,0.5681818181818182,0.301990391214825,0.3900709219858156,0.7741935483870969
1,0.09219858156028371,0.2876712328767123,0.10752688172043011,0.0,0.9896907216494846,0.0,0.07446808510638298,0.016129032258064516,3.358071123946149e-05,False,False,True,False,False,False,False,False,False,False,False,False,2576.0,0.005118507975085103,741.0410958904109,0.0,237.50354609929084,276.98924731182797,2576.0,0.0,0.02652287962693093,0.03093239063190455,0.2876712328767123,0.0,0.0,0.0,0.009913825974224055,0.09219858156028371,0.10752688172043011
2,0.24822695035460995,0.8630136986301369,0.6774193548387097,0.6477272727272727,0.14432989690721648,0.0,0.09574468085106383,0.22580645161290322,0.0035259746801437238,False,True,False,False,False,False,False,False,False,False,False,False,3048.0,0.08401769459435955,2630.465753424657,1974.2727272727273,756.5957446808511,2064.7741935483873,6096.0,0.558997509339975,0.2142232585252113,0.5846221829429961,1.7260273972602738,0.16078336557059963,0.4387829912023461,1.2954545454545454,0.1681537405628003,0.4964539007092199,1.3548387096774195
1,0.3900709219858156,0.547945205479452,0.34408602150537637,0.7272727272727273,0.0,0.0,0.35106382978723405,0.03225806451612903,0.0037610396588199715,False,False,False,False,False,False,False,False,False,True,False,False,830.0,0.0910022286690227,454.7945205479452,603.6363636363636,323.758865248227,285.5913978494624,830.0,0.398505603985056,0.21373749149907703,0.1885402857563706,0.547945205479452,0.28368794326241137,0.25024437927663734,0.7272727272727273,0.13421795165103334,0.3900709219858156,0.34408602150537637
